id,first_name,last_name,email,phone,last_login_ip,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,z_costcontact,z_revenue,response
"5524","Alma","Kimbra","almakimbra@gmail.com","739-561-8232","246.248.122.64","1957","Graduation","Single","58138","0","0","Single","04-09-2012","58","635","88","546","172","88","88","58","3","8","8","10","10","4","7","0","0","0","0","0","0","3","11","1"
"2174","Jilli","Cam","jillicam@gmail.com","763-698-7209","159.86.45.142","1954","Graduation","Single","46344","1","1","Single","08-03-2014","38","11","1","6","2","1","6","38","2","1","1","1","1","2","5","0","0","0","0","0","0","3","11","0"
"4141","Corry","Grete","corrygrete@gmail.com","241-291-3670","147.145.82.252","1965","Graduation","Together","71613","0","0","Together","21-08-2013","26","426","49","127","111","21","42","26","1","8","8","2","2","10","4","0","0","0","0","0","0","3","11","0"
"6182","Della","Fifi","dellafifi@gmail.com","571-954-8516","197.44.244.125","1984","Graduation","Together","26646","1","0","Together","10-02-2014","26","11","4","20","10","3","5","26","2","2","2","0","0","4","6","0","0","0","0","0","0","3","11","0"
"5324","Edy","Marcelline","edymarcelline@gmail.com","346-473-9980","198.58.63.211","1981","PhD","Married","58293","1","0","Married","19-01-2014","94","173","43","118","46","27","15","94","5","5","5","3","3","6","5","0","0","0","0","0","0","3","11","0"
"7446","Janna","Leda","jannaleda@gmail.com","735-217-4678","106.26.85.199","1967","Master","Together","62513","0","1","Together","09-09-2013","16","520","42","98","0","42","14","16","2","6","6","4","4","10","6","0","0","0","0","0","0","3","11","0"
"965","Dre","Seline","dreseline@gmail.com","499-784-9357","39.54.58.53","1971","Graduation","Divorced","55635","0","1","Divorced","13-11-2012","34","235","65","164","50","49","27","34","4","7","7","3","3","7","6","0","0","0","0","0","0","3","11","0"
"6177","Felita","Pierrette","felitapierrette@gmail.com","278-658-7317","159.203.178.115","1985","PhD","Married","33454","1","0","Married","08-05-2013","32","76","10","56","3","1","23","32","2","4","4","0","0","4","8","0","0","0","0","0","0","3","11","0"
"4855","Ertha","Joya","erthajoya@gmail.com","486-223-8130","6.115.192.48","1974","PhD","Together","30351","1","0","Together","06-06-2013","19","14","0","24","3","3","2","19","1","3","3","0","0","2","9","0","0","0","0","0","0","3","11","1"
"5899","Lindsay","Kendre","lindsaykendre@gmail.com","397-792-8404","177.6.59.225","1950","PhD","Together","5648","1","1","Together","13-03-2014","68","28","0","6","1","1","13","68","1","1","1","0","0","0","20","1","0","0","0","0","0","3","11","0"
"1994","Geri","Dorthea","geridorthea@gmail.com","312-963-1414","13.224.113.139","1983","Graduation","Married","","1","0","Married","15-11-2013","11","5","5","6","0","2","1","11","1","1","1","0","0","2","7","0","0","0","0","0","0","3","11","0"
"387","Clara","Arielle","claraarielle@gmail.com","656-690-9960","10.191.168.105","1976","Basic","Married","7500","0","0","Married","13-11-2012","59","6","16","11","11","1","16","59","1","2","2","0","0","3","8","0","0","0","0","0","0","3","11","0"
"2125","Consolata","Abbi","consolataabbi@gmail.com","730-805-4574","31.245.253.237","1959","Graduation","Divorced","63033","0","0","Divorced","15-11-2013","82","194","61","480","225","112","30","82","1","3","3","4","4","8","2","0","0","0","0","0","0","3","11","0"
"8180","Happy","Lexis","happylexis@gmail.com","739-925-9166","129.203.65.197","1952","Master","Divorced","59354","1","1","Divorced","15-11-2013","53","233","2","53","3","5","14","53","3","6","6","1","1","5","6","0","0","0","0","0","0","3","11","0"
"2569","Roxie","Anett","roxieanett@gmail.com","400-545-5063","3.81.165.109","1987","Graduation","Married","17323","0","0","Married","10-10-2012","38","3","14","17","6","1","5","38","1","1","1","0","0","3","8","0","0","0","0","0","0","3","11","0"
"2114","Magdaia","Sharl","magdaiasharl@gmail.com","587-727-3775","199.175.178.69","1946","PhD","Single","82800","0","0","Single","24-11-2012","23","1006","22","115","59","68","45","23","1","7","7","6","6","12","3","0","0","1","1","0","0","3","11","1"
"9736","Stacia","Modestine","staciamodestine@gmail.com","269-658-6434","115.47.205.109","1980","Graduation","Married","41850","1","1","Married","24-12-2012","51","53","5","19","2","13","4","51","3","3","3","0","0","3","8","0","0","0","0","0","0","3","11","0"
"4939","Jackelyn","Berri","jackelynberri@gmail.com","286-877-8011","90.137.75.15","1946","Graduation","Together","37760","0","0","Together","31-08-2012","20","84","5","38","150","12","28","20","2","4","4","1","1","6","7","0","0","0","0","0","0","3","11","0"
"6565","Bette-ann","Kristina","bette-annkristina@gmail.com","310-264-3929","74.74.218.170","1949","Master","Married","76995","0","1","Married","28-03-2013","91","1012","80","498","0","16","176","91","2","11","11","4","4","9","5","0","0","0","1","0","0","3","11","0"
"2278","Georgette","Meris","georgettemeris@gmail.com","513-554-9604","240.139.60.175","1985","2n Cycle","Single","33812","1","0","Single","03-11-2012","86","4","17","19","30","24","39","86","2","2","2","1","1","3","6","0","0","0","0","0","0","3","11","0"
"9360","Martie","Debbie","martiedebbie@gmail.com","653-442-6732","43.218.200.203","1982","Graduation","Married","37040","0","0","Married","08-08-2012","41","86","2","73","69","38","48","41","1","4","4","2","2","5","8","0","0","0","0","0","0","3","11","0"
"5376","Amaleta","Tiffani","amaletatiffani@gmail.com","741-792-9644","40.52.22.166","1979","Graduation","Married","2447","1","0","Married","06-01-2013","42","1","1","1725","1","1","1","42","15","0","0","28","28","0","1","0","0","0","0","0","0","3","11","0"
